j1,j2,U
13,7,1.706113
13,8,0.892390
13,9,0.000000
13,10,0.595121
13,11,1.467866
13,12,1.333283
13,14,0.000000
13,15,0.937010
13,16,1.332233
13,17,0.858701
13,18,0.932323
13,19,0.000000
13,20,1.118589
13,21,1.610892
13,22,1.304142
13,23,0.914407
13,24,0.000000
13,25,0.893644
13,26,1.148345
13,27,1.602642
13,28,1.139014
13,29,0.000000
13,30,0.817811
14,1,0.000000
14,2,1.133062
14,3,0.000000
14,4,2.184845
14,5,1.550970
14,6,0.000000
14,7,0.969760
14,8,0.000000
14,9,1.550970
14,10,2.184845
14,11,0.000000
14,12,1.133062
14,13,0.000000
14,15,2.123460
14,16,0.000000
14,17,1.588569
14,18,0.000000
14,19,1.540314
14,20,2.057596
14,21,0.000000
14,22,1.698768
14,23,0.000000
14,24,2.023004
14,25,2.243233
14,26,0.000000
14,27,1.602642
14,28,0.000000
14,29,2.183097
14,30,1.552690
15,1,2.123460
15,2,0.937010
15,3,0.883929
15,4,1.112175
15,5,0.591823
15,6,1.856172
15,7,1.083764
15,8,1.083764
15,9,1.856172
15,10,0.591823
15,11,1.112175
15,12,0.883929
15,13,0.937010
15,14,2.123460
15,16,1.766465
15,17,0.929461
15,18,0.600934
15,19,1.892577
15,20,0.588566
15,21,2.171721
15,22,0.988125
15,23,0.853519
15,24,1.814923
15,25,0.399098
15,26,1.706178
15,27,0.885258
15,28,1.139014
15,29,2.183097
15,30,0.619294
16,1,1.766465
16,2,0.000000
16,3,1.332233
16,4,0.000000
16,5,2.075432
16,6,1.721145
16,7,0.000000
16,8,1.265266
16,9,0.000000
16,10,1.721145
16,11,2.075432
16,12,0.000000
16,13,1.332233
16,14,0.000000
16,15,1.766465
16,17,0.000000
16,18,1.483000
16,19,0.000000
16,20,1.807527
16,21,1.509559
16,22,0.000000
16,23,1.214240
16,24,0.000000
16,25,1.957649
16,26,2.091192
16,27,0.000000
16,28,1.145776
16,29,0.000000
16,30,1.552690
17,1,0.000000
17,2,0.929461
17,3,1.588569
17,4,0.858701
17,5,0.991906
17,6,0.000000
17,7,1.115718
17,8,1.344399
17,9,1.344399
17,10,1.115718
17,11,0.000000
17,12,0.991906
17,13,0.858701
17,14,1.588569
17,15,0.929461
17,16,0.000000
17,18,0.924812
17,19,1.516976
17,20,0.587078
17,21,0.000000
17,22,0.970227
17,23,1.251400
17,24,1.663246
17,25,0.596939
17,26,0.000000
17,27,0.591214
17,28,1.601644
17,29,1.399501
17,30,0.817811
18,1,0.924812
18,2,1.483000
18,3,0.600934
18,4,0.000000
18,5,0.932323
18,6,1.349244
18,7,1.452429
18,8,0.592327
18,9,0.000000
18,10,0.592327
18,11,1.452429
18,12,1.349244
18,13,0.932323
18,14,0.000000
18,15,0.600934
18,16,1.483000
18,17,0.924812
18,19,0.000000
18,20,0.878433
18,21,1.584629
18,22,0.829560
18,23,1.011606
18,24,0.000000
18,25,1.087756
18,26,1.422341
18,27,1.356421
18,28,1.073718
18,29,0.000000
18,30,1.017716
19,1,0.000000
19,2,1.516976
19,3,0.000000
19,4,1.892577
19,5,1.540314
19,6,0.000000
19,7,1.211837
19,8,0.000000
19,9,1.983577
19,10,1.983577
19,11,0.000000
19,12,1.211837
19,13,0.000000
19,14,1.540314
19,15,1.892577
19,16,0.000000
19,17,1.516976
19,18,0.000000
19,20,1.707734
19,21,0.000000
19,22,1.433531
19,23,0.000000
19,24,1.919907
19,25,1.623776
19,26,0.000000
19,27,1.289403
19,28,0.000000
19,29,1.735592
19,30,2.178222
20,1,1.707734
20,2,0.878433
20,3,0.587078
20,4,1.807527
20,5,0.588566
